[01/01/09 01:28:34.017] log started
[01/01/09 01:28:34.017] 	[ BusInterface ]
[01/01/09 01:28:34.017] 	cycle = 100
[01/01/09 01:28:34.017] 	device = 0
[01/01/09 01:28:34.017] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:28:34.017] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:28:34.017] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:28:34.017] 	log:path = 
[01/01/09 01:28:34.017] 	log:size = 
[01/01/09 01:28:34.017] 	log:type = 
[01/01/09 01:28:34.017] 	name = Analog I/O Bus
[01/01/09 01:28:34.017] 	sym = bus_daq_1
[01/01/09 01:28:34.017] 	type = daq2213
[01/01/09 01:28:34.018] 	vendor = ICPDAS,Adlink
[01/01/09 01:28:34.018] tid = 2831
[01/01/09 01:28:34.018] init: lock started
[01/01/09 01:28:34.018] init: locked
[01/01/09 01:28:34.153] d2k-dask init: type=10 id=0
[01/01/09 01:28:34.153] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:28:34.154] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:28:34.154] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:28:34.154] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:28:34.154] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:28:34.154] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:28:34.154] init: unlocked
[01/01/09 01:28:34.155] inVoltage 2 => -0.004272
[01/01/09 01:28:34.155] inVoltage 3 => -0.010376
[01/01/09 01:28:34.155] inVoltage 4 => 4.241028
[01/01/09 01:28:34.156] inVoltage 5 => 4.239807
[01/01/09 01:28:34.275] inVoltage 2 => -0.004272
[01/01/09 01:28:34.275] inVoltage 3 => -0.008240
[01/01/09 01:28:34.276] inVoltage 4 => 4.240723
[01/01/09 01:28:34.276] inVoltage 5 => 4.239502
[01/01/09 01:28:34.395] inVoltage 2 => -0.004578
[01/01/09 01:28:34.395] inVoltage 3 => -0.006104
[01/01/09 01:28:34.396] inVoltage 4 => 4.238892
[01/01/09 01:28:34.396] inVoltage 5 => 4.239807
[01/01/09 01:28:34.516] inVoltage 2 => -0.002136
[01/01/09 01:28:34.516] inVoltage 3 => -0.007629
[01/01/09 01:28:34.516] inVoltage 4 => 4.241638
[01/01/09 01:28:34.516] inVoltage 5 => 4.237671
[01/01/09 01:28:34.636] inVoltage 2 => -0.007019
[01/01/09 01:28:34.636] inVoltage 3 => -0.013428
[01/01/09 01:28:34.636] inVoltage 4 => 4.237366
[01/01/09 01:28:34.637] inVoltage 5 => 4.238892
[01/01/09 01:28:34.757] inVoltage 2 => -0.008545
[01/01/09 01:28:34.757] inVoltage 3 => -0.010986
[01/01/09 01:28:34.757] inVoltage 4 => 4.238281
[01/01/09 01:28:34.757] inVoltage 5 => 4.238281
[01/01/09 01:28:34.877] inVoltage 2 => -0.003662
[01/01/09 01:28:34.877] inVoltage 3 => -0.010986
[01/01/09 01:28:34.877] inVoltage 4 => 4.238281
[01/01/09 01:28:34.877] inVoltage 5 => 4.240417
[01/01/09 01:28:34.998] inVoltage 2 => -0.006714
[01/01/09 01:28:34.998] inVoltage 3 => -0.009155
[01/01/09 01:28:34.998] inVoltage 4 => 4.238586
[01/01/09 01:28:34.998] inVoltage 5 => 4.239807
[01/01/09 01:28:35.118] inVoltage 2 => -0.002747
[01/01/09 01:28:35.118] inVoltage 3 => -0.010681
[01/01/09 01:28:35.118] inVoltage 4 => 4.239502
[01/01/09 01:28:35.119] inVoltage 5 => 4.238586
[01/01/09 01:28:35.239] inVoltage 2 => -0.006104
[01/01/09 01:28:35.239] inVoltage 3 => -0.012207
[01/01/09 01:28:35.239] inVoltage 4 => 4.238281
[01/01/09 01:28:35.239] inVoltage 5 => 4.241943
[01/01/09 01:28:35.359] inVoltage 2 => -0.001831
[01/01/09 01:28:35.359] inVoltage 3 => -0.013428
[01/01/09 01:28:35.359] inVoltage 4 => 4.238281
[01/01/09 01:28:35.359] inVoltage 5 => 4.237671
[01/01/09 01:28:35.479] inVoltage 2 => -0.007324
[01/01/09 01:28:35.479] inVoltage 3 => -0.008850
[01/01/09 01:28:35.480] inVoltage 4 => 4.241028
[01/01/09 01:28:35.480] inVoltage 5 => 4.239197
[01/01/09 01:28:35.600] inVoltage 2 => -0.007935
[01/01/09 01:28:35.600] inVoltage 3 => -0.014038
[01/01/09 01:28:35.600] inVoltage 4 => 4.236145
[01/01/09 01:28:35.600] inVoltage 5 => 4.235840
[01/01/09 01:28:35.720] inVoltage 2 => -0.007324
[01/01/09 01:28:35.720] inVoltage 3 => -0.011902
[01/01/09 01:28:35.720] inVoltage 4 => 4.238281
[01/01/09 01:28:35.721] inVoltage 5 => 4.235840
[01/01/09 01:28:35.840] inVoltage 2 => -0.007324
[01/01/09 01:28:35.841] inVoltage 3 => -0.009766
[01/01/09 01:28:35.841] inVoltage 4 => 4.237671
[01/01/09 01:28:35.841] inVoltage 5 => 4.237366
[01/01/09 01:28:35.962] inVoltage 2 => -0.008240
[01/01/09 01:28:35.962] inVoltage 3 => -0.015564
[01/01/09 01:28:35.962] inVoltage 4 => 4.240723
[01/01/09 01:28:35.962] inVoltage 5 => 4.238586
[01/01/09 01:28:36.083] inVoltage 2 => -0.007629
[01/01/09 01:28:36.083] inVoltage 3 => -0.012207
[01/01/09 01:28:36.084] inVoltage 4 => 4.238281
[01/01/09 01:28:36.084] inVoltage 5 => 4.236145
[01/01/09 01:28:36.205] inVoltage 2 => -0.006104
[01/01/09 01:28:36.205] inVoltage 3 => -0.009460
[01/01/09 01:28:36.205] inVoltage 4 => 4.238281
[01/01/09 01:28:36.205] inVoltage 5 => 4.237061
[01/01/09 01:28:36.325] inVoltage 2 => -0.005798
[01/01/09 01:28:36.325] inVoltage 3 => -0.010986
[01/01/09 01:28:36.325] inVoltage 4 => 4.237671
[01/01/09 01:28:36.325] inVoltage 5 => 4.237671
[01/01/09 01:28:36.445] inVoltage 2 => -0.006409
[01/01/09 01:28:36.445] inVoltage 3 => -0.010986
[01/01/09 01:28:36.446] inVoltage 4 => 4.238281
[01/01/09 01:28:36.446] inVoltage 5 => 4.237366
[01/01/09 01:28:36.566] inVoltage 2 => -0.006409
[01/01/09 01:28:36.566] inVoltage 3 => -0.007324
[01/01/09 01:28:36.566] inVoltage 4 => 4.237671
[01/01/09 01:28:36.566] inVoltage 5 => 4.238281
[01/01/09 01:28:36.686] inVoltage 2 => -0.008545
[01/01/09 01:28:36.686] inVoltage 3 => -0.013123
[01/01/09 01:28:36.687] inVoltage 4 => 4.235229
[01/01/09 01:28:36.687] inVoltage 5 => 4.239197
[01/01/09 01:28:36.806] inVoltage 2 => -0.004272
[01/01/09 01:28:36.806] inVoltage 3 => -0.010681
[01/01/09 01:28:36.806] inVoltage 4 => 4.236450
[01/01/09 01:28:36.806] inVoltage 5 => 4.239502
[01/01/09 01:28:36.926] inVoltage 2 => -0.004883
[01/01/09 01:28:36.926] inVoltage 3 => -0.011902
[01/01/09 01:28:36.926] inVoltage 4 => 4.236450
[01/01/09 01:28:36.927] inVoltage 5 => 4.237671
[01/01/09 01:28:37.047] inVoltage 2 => -0.007629
[01/01/09 01:28:37.047] inVoltage 3 => -0.014038
[01/01/09 01:28:37.047] inVoltage 4 => 4.238586
[01/01/09 01:28:37.047] inVoltage 5 => 4.239807
[01/01/09 01:28:37.167] inVoltage 2 => -0.006714
[01/01/09 01:28:37.167] inVoltage 3 => -0.012207
[01/01/09 01:28:37.167] inVoltage 4 => 4.243469
[01/01/09 01:28:37.167] inVoltage 5 => 4.238281
[01/01/09 01:28:37.286] inVoltage 2 => -0.008850
[01/01/09 01:28:37.286] inVoltage 3 => -0.013428
[01/01/09 01:28:37.286] inVoltage 4 => 4.235535
[01/01/09 01:28:37.286] inVoltage 5 => 4.238892
[01/01/09 01:28:37.407] inVoltage 2 => -0.010071
[01/01/09 01:28:37.407] inVoltage 3 => -0.012817
[01/01/09 01:28:37.407] inVoltage 4 => 4.237671
[01/01/09 01:28:37.407] inVoltage 5 => 4.239197
[01/01/09 01:28:37.527] inVoltage 2 => -0.008545
[01/01/09 01:28:37.528] inVoltage 3 => -0.016479
[01/01/09 01:28:37.528] inVoltage 4 => 4.237366
[01/01/09 01:28:37.528] inVoltage 5 => 4.238892
[01/01/09 01:28:37.648] inVoltage 2 => -0.006104
[01/01/09 01:28:37.648] inVoltage 3 => -0.013428
[01/01/09 01:28:37.648] inVoltage 4 => 4.238281
[01/01/09 01:28:37.648] inVoltage 5 => 4.236145
[01/01/09 01:28:37.768] inVoltage 2 => -0.005188
[01/01/09 01:28:37.768] inVoltage 3 => -0.008545
[01/01/09 01:28:37.768] inVoltage 4 => 4.238281
[01/01/09 01:28:37.769] inVoltage 5 => 4.239502
[01/01/09 01:28:37.889] inVoltage 2 => -0.009155
[01/01/09 01:28:37.889] inVoltage 3 => -0.011597
[01/01/09 01:28:37.889] inVoltage 4 => 4.237976
[01/01/09 01:28:37.889] inVoltage 5 => 4.237671
[01/01/09 01:28:38.009] inVoltage 2 => -0.006104
[01/01/09 01:28:38.009] inVoltage 3 => -0.010986
[01/01/09 01:28:38.009] inVoltage 4 => 4.237976
[01/01/09 01:28:38.009] inVoltage 5 => 4.241943
[01/01/09 01:28:38.129] inVoltage 2 => -0.010376
[01/01/09 01:28:38.130] inVoltage 3 => -0.015259
[01/01/09 01:28:38.130] inVoltage 4 => 4.232788
[01/01/09 01:28:38.130] inVoltage 5 => 4.238281
[01/01/09 01:28:38.249] inVoltage 2 => -0.008545
[01/01/09 01:28:38.250] inVoltage 3 => -0.016174
[01/01/09 01:28:38.250] inVoltage 4 => 4.238281
[01/01/09 01:28:38.250] inVoltage 5 => 4.241028
[01/01/09 01:28:38.370] inVoltage 2 => -0.006714
[01/01/09 01:28:38.370] inVoltage 3 => -0.012817
[01/01/09 01:28:38.370] inVoltage 4 => 4.237671
[01/01/09 01:28:38.370] inVoltage 5 => 4.235840
[01/01/09 01:28:38.490] inVoltage 2 => -0.006409
[01/01/09 01:28:38.490] inVoltage 3 => -0.011292
[01/01/09 01:28:38.490] inVoltage 4 => 4.238586
[01/01/09 01:28:38.490] inVoltage 5 => 4.238281
[01/01/09 01:28:38.610] inVoltage 2 => -0.006714
[01/01/09 01:28:38.610] inVoltage 3 => -0.012817
[01/01/09 01:28:38.611] inVoltage 4 => 4.237061
[01/01/09 01:28:38.611] inVoltage 5 => 4.236755
[01/01/09 01:28:38.730] inVoltage 2 => -0.008240
[01/01/09 01:28:38.730] inVoltage 3 => -0.014648
[01/01/09 01:28:38.731] inVoltage 4 => 4.236755
[01/01/09 01:28:38.731] inVoltage 5 => 4.238586
[01/01/09 01:28:38.852] inVoltage 2 => -0.007324
[01/01/09 01:28:38.852] inVoltage 3 => -0.013733
[01/01/09 01:28:38.852] inVoltage 4 => 4.238281
[01/01/09 01:28:38.852] inVoltage 5 => 4.239807
[01/01/09 01:28:38.973] inVoltage 2 => -0.005798
[01/01/09 01:28:38.974] inVoltage 3 => -0.012207
[01/01/09 01:28:38.974] inVoltage 4 => 4.237671
[01/01/09 01:28:38.974] inVoltage 5 => 4.238892
[01/01/09 01:28:39.094] inVoltage 2 => -0.005798
[01/01/09 01:28:39.094] inVoltage 3 => -0.013428
[01/01/09 01:28:39.094] inVoltage 4 => 4.237671
[01/01/09 01:28:39.094] inVoltage 5 => 4.239502
[01/01/09 01:28:39.215] inVoltage 2 => -0.011902
[01/01/09 01:28:39.216] inVoltage 3 => -0.013123
[01/01/09 01:28:39.216] inVoltage 4 => 4.237061
[01/01/09 01:28:39.216] inVoltage 5 => 4.237366
[01/01/09 01:28:39.336] inVoltage 2 => -0.004578
[01/01/09 01:28:39.336] inVoltage 3 => -0.009155
[01/01/09 01:28:39.336] inVoltage 4 => 4.237061
[01/01/09 01:28:39.336] inVoltage 5 => 4.237671
[01/01/09 01:28:39.456] inVoltage 2 => -0.004272
[01/01/09 01:28:39.456] inVoltage 3 => -0.009766
[01/01/09 01:28:39.457] inVoltage 4 => 4.237061
[01/01/09 01:28:39.457] inVoltage 5 => 4.237671
[01/01/09 01:28:39.577] inVoltage 2 => -0.008240
[01/01/09 01:28:39.578] inVoltage 3 => -0.012207
[01/01/09 01:28:39.578] inVoltage 4 => 4.238281
[01/01/09 01:28:39.578] inVoltage 5 => 4.238281
[01/01/09 01:28:39.698] inVoltage 2 => -0.005493
[01/01/09 01:28:39.698] inVoltage 3 => -0.011292
[01/01/09 01:28:39.698] inVoltage 4 => 4.234619
[01/01/09 01:28:39.698] inVoltage 5 => 4.237366
[01/01/09 01:28:39.818] inVoltage 2 => -0.005798
[01/01/09 01:28:39.818] inVoltage 3 => -0.012817
[01/01/09 01:28:39.818] inVoltage 4 => 4.229736
[01/01/09 01:28:39.819] inVoltage 5 => 4.240417
[01/01/09 01:28:39.939] inVoltage 2 => -0.007019
[01/01/09 01:28:39.939] inVoltage 3 => -0.011597
[01/01/09 01:28:39.939] inVoltage 4 => 4.236755
[01/01/09 01:28:39.939] inVoltage 5 => 4.237671
[01/01/09 01:28:40.059] inVoltage 2 => -0.003967
[01/01/09 01:28:40.059] inVoltage 3 => -0.009766
[01/01/09 01:28:40.059] inVoltage 4 => 4.236755
[01/01/09 01:28:40.059] inVoltage 5 => 4.237671
[01/01/09 01:28:40.180] inVoltage 2 => -0.007629
[01/01/09 01:28:40.180] inVoltage 3 => -0.011292
[01/01/09 01:28:40.180] inVoltage 4 => 4.239502
[01/01/09 01:28:40.180] inVoltage 5 => 4.241028
[01/01/09 01:28:40.300] inVoltage 2 => -0.004883
[01/01/09 01:28:40.300] inVoltage 3 => -0.010071
[01/01/09 01:28:40.300] inVoltage 4 => 4.236145
[01/01/09 01:28:40.301] inVoltage 5 => 4.236145
[01/01/09 01:28:40.421] inVoltage 2 => -0.002747
[01/01/09 01:28:40.421] inVoltage 3 => -0.007019
[01/01/09 01:28:40.421] inVoltage 4 => 4.237976
[01/01/09 01:28:40.421] inVoltage 5 => 4.238892
[01/01/09 01:28:40.543] inVoltage 2 => -0.007019
[01/01/09 01:28:40.543] inVoltage 3 => -0.006714
[01/01/09 01:28:40.544] inVoltage 4 => 4.237061
[01/01/09 01:28:40.544] inVoltage 5 => 4.236450
[01/01/09 01:28:40.666] inVoltage 2 => -0.009155
[01/01/09 01:28:40.666] inVoltage 3 => -0.012512
[01/01/09 01:28:40.666] inVoltage 4 => 4.238586
[01/01/09 01:28:40.666] inVoltage 5 => 4.238281
[01/01/09 01:28:40.786] inVoltage 2 => -0.010071
[01/01/09 01:28:40.786] inVoltage 3 => -0.010986
[01/01/09 01:28:40.786] inVoltage 4 => 4.237366
[01/01/09 01:28:40.786] inVoltage 5 => 4.244690
[01/01/09 01:28:40.907] inVoltage 2 => -0.008240
[01/01/09 01:28:40.907] inVoltage 3 => -0.012207
[01/01/09 01:28:40.907] inVoltage 4 => 4.238281
[01/01/09 01:28:40.907] inVoltage 5 => 4.237671
[01/01/09 01:28:41.027] inVoltage 2 => -0.008240
[01/01/09 01:28:41.028] inVoltage 3 => -0.012817
[01/01/09 01:28:41.028] inVoltage 4 => 4.237366
[01/01/09 01:28:41.028] inVoltage 5 => 4.238892
[01/01/09 01:28:41.148] inVoltage 2 => -0.009460
[01/01/09 01:28:41.149] inVoltage 3 => -0.010376
[01/01/09 01:28:41.149] inVoltage 4 => 4.236450
[01/01/09 01:28:41.149] inVoltage 5 => 4.234924
[01/01/09 01:28:41.269] inVoltage 2 => -0.007019
[01/01/09 01:28:41.269] inVoltage 3 => -0.014343
[01/01/09 01:28:41.269] inVoltage 4 => 4.238586
[01/01/09 01:28:41.269] inVoltage 5 => 4.238281
[01/01/09 01:28:41.389] inVoltage 2 => -0.004883
[01/01/09 01:28:41.389] inVoltage 3 => -0.009766
[01/01/09 01:28:41.389] inVoltage 4 => 4.237366
[01/01/09 01:28:41.390] inVoltage 5 => 4.238281
[01/01/09 01:28:41.509] inVoltage 2 => -0.006409
[01/01/09 01:28:41.509] inVoltage 3 => -0.013733
[01/01/09 01:28:41.510] inVoltage 4 => 4.238586
[01/01/09 01:28:41.510] inVoltage 5 => 4.237061
[01/01/09 01:28:41.630] inVoltage 2 => -0.005798
[01/01/09 01:28:41.630] inVoltage 3 => -0.013123
[01/01/09 01:28:41.630] inVoltage 4 => 4.238892
[01/01/09 01:28:41.630] inVoltage 5 => 4.238586
