[01/01/09 01:33:07.336] log started
[01/01/09 01:33:07.336] 	[ BusInterface ]
[01/01/09 01:33:07.336] 	cycle = 100
[01/01/09 01:33:07.336] 	device = 0
[01/01/09 01:33:07.336] 	flags = ad_b_10_v,ai_rse
[01/01/09 01:33:07.336] 	href = cin_pci_2,cin_pci_2_skt
[01/01/09 01:33:07.336] 	interface = daq2005|daq2006|daq2010|daq2016|daq2204|daq2205|daq2206|daq2208|daq2213|daq2214|daq2501|daq2502|PIO_DA
[01/01/09 01:33:07.336] 	log:path = 
[01/01/09 01:33:07.336] 	log:size = 
[01/01/09 01:33:07.336] 	log:type = 
[01/01/09 01:33:07.336] 	name = Analog I/O Bus
[01/01/09 01:33:07.337] 	sym = bus_daq_1
[01/01/09 01:33:07.337] 	type = daq2213
[01/01/09 01:33:07.337] 	vendor = ICPDAS,Adlink
[01/01/09 01:33:07.337] tid = 6423
[01/01/09 01:33:07.337] init: lock started
[01/01/09 01:33:07.337] init: locked
[01/01/09 01:33:07.475] d2k-dask init: type=10 id=0
[01/01/09 01:33:07.475] d2k-dask setup: input channel 2, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 3, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 4, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 5, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.475] d2k-dask setup: input channel 0, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.476] d2k-dask setup: input channel 1, flags=ad_b_10_v,ai_rse/00000001
[01/01/09 01:33:07.476] init: unlocked
[01/01/09 01:33:07.476] inVoltage 2 => -0.004272
[01/01/09 01:33:07.477] inVoltage 3 => -0.009766
[01/01/09 01:33:07.477] inVoltage 4 => 4.239502
[01/01/09 01:33:07.477] inVoltage 5 => 4.239502
[01/01/09 01:33:07.597] inVoltage 2 => -0.004883
[01/01/09 01:33:07.597] inVoltage 3 => -0.010071
[01/01/09 01:33:07.598] inVoltage 4 => 4.241333
[01/01/09 01:33:07.598] inVoltage 5 => 4.240723
[01/01/09 01:33:07.717] inVoltage 2 => -0.005493
[01/01/09 01:33:07.718] inVoltage 3 => -0.011902
[01/01/09 01:33:07.718] inVoltage 4 => 4.241028
[01/01/09 01:33:07.718] inVoltage 5 => 4.243164
[01/01/09 01:33:07.838] inVoltage 2 => 0.000000
[01/01/09 01:33:07.838] inVoltage 3 => -0.006714
[01/01/09 01:33:07.838] inVoltage 4 => 4.239807
[01/01/09 01:33:07.838] inVoltage 5 => 4.242554
[01/01/09 01:33:07.958] inVoltage 2 => -0.003967
[01/01/09 01:33:07.958] inVoltage 3 => -0.011597
[01/01/09 01:33:07.959] inVoltage 4 => 4.236755
[01/01/09 01:33:07.959] inVoltage 5 => 4.241333
[01/01/09 01:33:08.079] inVoltage 2 => -0.004272
[01/01/09 01:33:08.079] inVoltage 3 => -0.012207
[01/01/09 01:33:08.079] inVoltage 4 => 4.241028
[01/01/09 01:33:08.079] inVoltage 5 => 4.240112
[01/01/09 01:33:08.199] inVoltage 2 => -0.007324
[01/01/09 01:33:08.199] inVoltage 3 => -0.007324
[01/01/09 01:33:08.199] inVoltage 4 => 4.240112
[01/01/09 01:33:08.200] inVoltage 5 => 4.240112
[01/01/09 01:33:08.319] inVoltage 2 => -0.005798
[01/01/09 01:33:08.320] inVoltage 3 => -0.007935
